Car_Name,Year,Selling_Price,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner,Car_Age,Depreciation,Resale_Percentage
ritz,2014,3.35,5.59,27000,Petrol,Dealer,Manual,0,4,2.2399999999999998,59.92844364937389
sx4,2013,4.75,9.54,43000,Diesel,Dealer,Manual,0,5,4.789999999999999,49.79035639412998
ciaz,2017,7.25,9.85,6900,Petrol,Dealer,Manual,0,1,2.5999999999999996,73.60406091370558
wagon r,2011,2.85,4.15,5200,Petrol,Dealer,Manual,0,7,1.3000000000000003,68.67469879518072
swift,2014,4.6,6.87,42450,Diesel,Dealer,Manual,0,4,2.2700000000000005,66.95778748180494
vitara brezza,2018,9.25,9.83,2071,Diesel,Dealer,Manual,0,0,0.5800000000000001,94.0996948118006
ciaz,2015,6.75,8.12,18796,Petrol,Dealer,Manual,0,3,1.3699999999999992,83.12807881773399
s cross,2015,6.5,8.61,33429,Diesel,Dealer,Manual,0,3,2.1099999999999994,75.49361207897793
ciaz,2016,8.75,8.89,20273,Diesel,Dealer,Manual,0,2,0.14000000000000057,98.42519685039369
ciaz,2015,7.45,8.92,42367,Diesel,Dealer,Manual,0,3,1.4699999999999998,83.5201793721973
alto 800,2017,2.85,3.6,2135,Petrol,Dealer,Manual,0,1,0.75,79.16666666666666
ciaz,2015,6.85,10.38,51000,Diesel,Dealer,Manual,0,3,3.530000000000001,65.99229287090557
ciaz,2015,7.5,9.94,15000,Petrol,Dealer,Automatic,0,3,2.4399999999999995,75.45271629778672
ertiga,2015,6.1,7.71,26000,Petrol,Dealer,Manual,0,3,1.6100000000000003,79.11802853437095
dzire,2009,2.25,7.21,77427,Petrol,Dealer,Manual,0,9,4.96,31.206657420249655
ertiga,2016,7.75,10.79,43000,Diesel,Dealer,Manual,0,2,3.039999999999999,71.82576459684894
ertiga,2015,7.25,10.79,41678,Diesel,Dealer,Manual,0,3,3.539999999999999,67.19184430027804
wagon r,2015,3.25,5.09,35500,CNG,Dealer,Manual,0,3,1.8399999999999999,63.85068762278978
sx4,2010,2.65,7.98,41442,Petrol,Dealer,Manual,0,8,5.33,33.208020050125306
alto k10,2016,2.85,3.95,25000,Petrol,Dealer,Manual,0,2,1.1,72.15189873417721
ignis,2017,4.9,5.71,2400,Petrol,Dealer,Manual,0,1,0.8099999999999996,85.81436077057793
sx4,2011,4.4,8.01,50000,Petrol,Dealer,Automatic,0,7,3.6099999999999994,54.931335830212234
alto k10,2014,2.5,3.46,45280,Petrol,Dealer,Manual,0,4,0.96,72.25433526011561
wagon r,2013,2.9,4.41,56879,Petrol,Dealer,Manual,0,5,1.5100000000000002,65.75963718820861
swift,2011,3.0,4.99,20000,Petrol,Dealer,Manual,0,7,1.9900000000000002,60.12024048096192
swift,2013,4.15,5.87,55138,Petrol,Dealer,Manual,0,5,1.7199999999999998,70.6984667802385
swift,2017,6.0,6.49,16200,Petrol,Individual,Manual,0,1,0.4900000000000002,92.44992295839754
alto k10,2010,1.95,3.95,44542,Petrol,Dealer,Manual,0,8,2.0,49.36708860759494
ciaz,2015,7.45,10.38,45000,Diesel,Dealer,Manual,0,3,2.9300000000000006,71.77263969171483
ritz,2012,3.1,5.98,51439,Diesel,Dealer,Manual,0,6,2.8800000000000003,51.83946488294314
ritz,2011,2.35,4.89,54200,Petrol,Dealer,Manual,0,7,2.5399999999999996,48.05725971370144
swift,2014,4.95,7.49,39000,Diesel,Dealer,Manual,0,4,2.54,66.08811748998666
ertiga,2014,6.0,9.95,45000,Diesel,Dealer,Manual,0,4,3.9499999999999993,60.30150753768845
dzire,2014,5.5,8.06,45000,Diesel,Dealer,Manual,0,4,2.5600000000000005,68.23821339950372
sx4,2011,2.95,7.74,49998,CNG,Dealer,Manual,0,7,4.79,38.11369509043928
dzire,2015,4.65,7.2,48767,Petrol,Dealer,Manual,0,3,2.55,64.58333333333334
800,2003,0.35,2.28,127000,Petrol,Individual,Manual,0,15,1.9299999999999997,15.350877192982457
alto k10,2016,3.0,3.76,10079,Petrol,Dealer,Manual,0,2,0.7599999999999998,79.7872340425532
sx4,2003,2.25,7.98,62000,Petrol,Dealer,Manual,0,15,5.73,28.195488721804512
baleno,2016,5.85,7.87,24524,Petrol,Dealer,Automatic,0,2,2.0200000000000005,74.33290978398983
alto k10,2014,2.55,3.98,46706,Petrol,Dealer,Manual,0,4,1.4300000000000002,64.07035175879396
sx4,2008,1.95,7.15,58000,Petrol,Dealer,Manual,0,10,5.2,27.27272727272727
dzire,2014,5.5,8.06,45780,Diesel,Dealer,Manual,0,4,2.5600000000000005,68.23821339950372
omni,2012,1.25,2.69,50000,Petrol,Dealer,Manual,0,6,1.44,46.468401486988846
ciaz,2014,7.5,12.04,15000,Petrol,Dealer,Automatic,0,4,4.539999999999999,62.292358803986716
ritz,2013,2.65,4.89,64532,Petrol,Dealer,Manual,0,5,2.2399999999999998,54.19222903885481
wagon r,2006,1.05,4.15,65000,Petrol,Dealer,Manual,0,12,3.1000000000000005,25.301204819277107
ertiga,2015,5.8,7.71,25870,Petrol,Dealer,Manual,0,3,1.9100000000000001,75.22697795071336
ciaz,2017,7.75,9.29,37000,Petrol,Dealer,Automatic,0,1,1.5399999999999991,83.42303552206674
fortuner,2012,14.9,30.61,104707,Diesel,Dealer,Automatic,0,6,15.709999999999999,48.676902972884676
fortuner,2015,23.0,30.61,40000,Diesel,Dealer,Automatic,0,3,7.609999999999999,75.13884351519111
innova,2017,18.0,19.77,15000,Diesel,Dealer,Automatic,0,1,1.7699999999999996,91.04704097116844
fortuner,2013,16.0,30.61,135000,Diesel,Individual,Automatic,0,5,14.61,52.27049983665469
innova,2005,2.75,10.21,90000,Petrol,Individual,Manual,0,13,7.460000000000001,26.93437806072478
corolla altis,2009,3.6,15.04,70000,Petrol,Dealer,Automatic,0,9,11.44,23.93617021276596
etios cross,2015,4.5,7.27,40534,Petrol,Dealer,Manual,0,3,2.7699999999999996,61.89821182943604
corolla altis,2010,4.75,18.54,50000,Petrol,Dealer,Manual,0,8,13.79,25.62028047464941
etios g,2014,4.1,6.8,39485,Petrol,Dealer,Manual,1,4,2.7,60.29411764705882
fortuner,2014,19.99,35.96,41000,Diesel,Dealer,Automatic,0,4,15.970000000000002,55.58954393770856
corolla altis,2013,6.95,18.61,40001,Petrol,Dealer,Manual,0,5,11.66,37.34551316496508
etios cross,2015,4.5,7.7,40588,Petrol,Dealer,Manual,0,3,3.2,58.44155844155844
fortuner,2014,18.75,35.96,78000,Diesel,Dealer,Automatic,0,4,17.21,52.1412680756396
fortuner,2015,23.5,35.96,47000,Diesel,Dealer,Automatic,0,3,12.46,65.3503893214683
fortuner,2017,33.0,36.23,6000,Diesel,Dealer,Automatic,0,1,3.229999999999997,91.08473640629313
etios liva,2014,4.75,6.95,45000,Diesel,Dealer,Manual,0,4,2.2,68.34532374100719
innova,2017,19.75,23.15,11000,Petrol,Dealer,Automatic,0,1,3.3999999999999986,85.31317494600432
fortuner,2010,9.25,20.45,59000,Diesel,Dealer,Manual,0,8,11.2,45.23227383863081
corolla altis,2011,4.35,13.74,88000,Petrol,Dealer,Manual,0,7,9.39,31.659388646288207
corolla altis,2016,14.25,20.91,12000,Petrol,Dealer,Manual,0,2,6.66,68.14921090387375
etios liva,2014,3.95,6.76,71000,Diesel,Dealer,Manual,0,4,2.8099999999999996,58.4319526627219
corolla altis,2011,4.5,12.48,45000,Diesel,Dealer,Manual,0,7,7.98,36.05769230769231
corolla altis,2013,7.45,18.61,56001,Petrol,Dealer,Manual,0,5,11.16,40.032240730789894
etios liva,2011,2.65,5.71,43000,Petrol,Dealer,Manual,0,7,3.06,46.409807355516634
etios cross,2014,4.9,8.93,83000,Diesel,Dealer,Manual,0,4,4.029999999999999,54.871220604703254
etios g,2015,3.95,6.8,36000,Petrol,Dealer,Manual,0,3,2.8499999999999996,58.08823529411765
corolla altis,2013,5.5,14.68,72000,Petrol,Dealer,Manual,0,5,9.18,37.46594005449591
corolla,2004,1.5,12.35,135154,Petrol,Dealer,Automatic,0,14,10.85,12.145748987854251
corolla altis,2010,5.25,22.83,80000,Petrol,Dealer,Automatic,0,8,17.58,22.99605781865966
